a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
2 2 3 1 0 4 0 0 0 1 0 0 1
2 3 5 1 0 5 3 1 0 2 0 1 1
3 2 5 1 0 4 3 1 0 2 0 1 1
4 4 5 1 0 4 0 0 0 1 0 0 1
2 4 7 1 1 8 5 2 0 4 1 1 2
3 5 7 1 0 5 3 1 0 2 0 1 1
4 2 7 1 4 11 5 2 0 5 1 1 3
5 3 7 1 1 9 3 1 0 3 1 0 2
6 6 7 1 0 4 0 0 0 1 0 0 1
2 6 11 1 1 9 10 4 0 6 2 2 2
3 4 11 1 0 4 6 2 0 3 0 2 1
4 3 11 1 4 12 10 4 0 7 2 2 3
5 9 11 1 0 5 3 1 0 2 0 1 1
6 2 11 1 0 4 3 1 0 2 0 1 1
7 8 11 1 3 6 8 3 0 5 2 1 2
8 7 11 1 5 16 10 4 0 8 2 2 4
9 5 11 1 1 9 6 2 0 4 2 0 2
10 10 11 1 0 4 0 0 0 1 0 0 1
2 7 13 1 1 9 8 3 0 5 1 2 2
3 9 13 1 0 6 6 2 0 3 0 2 1
4 10 13 1 1 8 5 2 0 4 1 1 2
5 8 13 1 2 8 8 3 0 5 2 1 2
6 11 13 1 0 5 3 1 0 2 0 1 1
7 2 13 1 0 4 3 1 0 2 0 1 1
8 5 13 1 4 12 8 3 0 6 1 2 3
9 3 13 1 1 9 3 1 0 3 1 0 2
10 4 13 1 5 11 10 4 0 7 2 2 3
11 6 13 1 3 13 10 4 0 7 2 2 3
12 12 13 1 0 4 0 0 0 1 0 0 1
2 9 17 1 0 7 9 3 0 4 0 3 1
3 6 17 1 4 7 13 5 0 7 2 3 2
4 13 17 1 0 6 6 2 0 3 0 2 1
5 7 17 1 5 7 13 5 0 7 3 2 2
6 3 17 1 4 7 10 4 0 6 2 2 2
7 5 17 1 5 12 13 5 0 8 3 2 3
8 15 17 1 0 5 3 1 0 2 0 1 1
9 2 17 1 0 4 3 1 0 2 0 1 1
10 12 17 1 6 11 15 6 0 9 3 3 3
11 14 17 1 4 7 8 3 0 5 2 1 2
12 10 17 1 5 16 15 6 0 10 3 3 4
13 4 17 1 4 14 10 4 0 8 2 2 4
14 11 17 1 5 16 15 6 0 10 3 3 4
15 8 17 1 5 18 15 6 0 11 3 3 5
16 16 17 1 0 4 0 0 0 1 0 0 1
2 10 19 1 2 9 15 6 0 8 3 3 2
3 13 19 1 3 7 13 5 0 7 2 3 2
4 5 19 1 5 12 15 6 0 9 3 3 3
5 4 19 1 0 4 6 2 0 3 0 2 1
6 16 19 1 3 6 10 4 0 6 2 2 2
7 11 19 1 8 17 15 6 0 11 3 3 5
8 12 19 1 6 16 15 6 0 10 3 3 4
9 17 19 1 0 5 3 1 0 2 0 1 1
10 2 19 1 0 4 3 1 0 2 0 1 1
11 7 19 1 4 8 11 4 0 6 3 1 2
12 8 19 1 7 8 13 5 0 8 2 3 3
13 3 19 1 3 8 8 3 0 5 2 1 2
14 15 19 1 4 16 10 4 0 8 2 2 4
15 14 19 1 6 18 13 5 0 10 3 2 5
16 6 19 1 8 19 15 6 0 11 3 3 5
17 9 19 1 2 10 9 3 0 5 3 0 2
18 18 19 1 0 4 0 0 0 1 0 0 1
2 12 23 1 1 13 15 6 0 9 3 3 3
3 8 23 1 0 4 9 3 0 4 0 3 1
4 6 23 1 4 16 15 6 0 10 3 3 4
5 14 23 1 1 10 13 5 0 7 3 2 2
6 4 23 1 0 4 6 2 0 3 0 2 1
7 10 23 1 4 15 15 6 0 10 3 3 4
8 3 23 1 4 12 10 4 0 7 2 2 3
9 18 23 1 1 9 8 3 0 5 2 1 2
10 7 23 1 5 13 15 6 0 9 3 3 3
11 21 23 1 0 5 3 1 0 2 0 1 1
12 2 23 1 0 4 3 1 0 2 0 1 1
13 16 23 1 3 6 11 4 0 6 3 1 2
14 5 23 1 6 9 10 4 0 7 2 2 3
15 20 23 1 3 6 8 3 0 5 2 1 2
16 13 23 1 6 20 15 6 0 11 3 3 5
17 19 23 1 5 13 10 4 0 7 2 2 3
18 9 23 1 6 12 13 5 0 8 2 3 3
19 17 23 1 7 16 15 6 0 10 3 3 4
20 15 23 1 6 17 15 6 0 10 3 3 4
21 11 23 1 3 14 13 5 0 8 3 2 3
22 22 23 1 0 4 0 0 0 1 0 0 1
2 15 29 1 3 13 13 5 0 8 2 3 3
3 10 29 1 2 10 13 5 0 7 2 3 2
4 22 29 1 3 12 10 4 0 7 2 2 3
5 6 29 1 1 9 8 3 0 5 1 2 2
6 5 29 1 2 10 10 4 0 6 2 2 2
7 25 29 1 0 6 6 2 0 3 0 2 1
8 11 29 1 4 16 13 5 0 9 2 3 4
9 13 29 1 2 15 11 4 0 7 3 1 3
10 3 29 1 1 9 5 2 0 4 1 1 2
11 8 29 1 5 11 13 5 0 8 2 3 3
12 17 29 1 3 14 13 5 0 8 2 3 3
13 9 29 1 2 10 11 4 0 6 3 1 2
14 27 29 1 0 5 3 1 0 2 0 1 1
15 2 29 1 0 4 3 1 0 2 0 1 1
16 20 29 1 8 18 15 6 0 11 3 3 5
17 12 29 1 5 20 15 6 0 11 3 3 5
18 21 29 1 7 19 15 6 0 11 3 3 5
19 26 29 1 1 8 3 1 0 3 1 0 2
20 16 29 1 3 12 11 4 0 7 1 3 3
21 18 29 1 4 16 13 5 0 9 3 2 4
22 4 29 1 5 11 10 4 0 7 2 2 3
23 24 29 1 2 8 6 2 0 4 2 0 2
24 23 29 1 3 13 10 4 0 7 2 2 3
25 7 29 1 3 13 8 3 0 6 2 1 3
26 19 29 1 4 13 15 6 0 9 3 3 3
27 14 29 1 4 17 15 6 0 10 3 3 4
28 28 29 1 0 4 0 0 0 1 0 0 1
2 16 31 1 1 16 15 6 0 10 3 3 4
3 21 31 1 1 10 13 5 0 7 2 3 2
4 8 31 1 4 19 15 6 0 11 3 3 5
5 25 31 1 1 9 8 3 0 5 1 2 2
6 26 31 1 1 9 10 4 0 6 2 2 2
7 9 31 1 1 9 13 5 0 7 3 2 2
8 4 31 1 4 15 10 4 0 8 2 2 4
9 7 31 1 1 14 8 3 0 6 2 1 3
10 28 31 1 1 8 5 2 0 4 1 1 2
11 17 31 1 7 13 15 6 0 10 3 3 4
12 13 31 1 8 15 15 6 0 10 3 3 4
13 12 31 1 3 13 13 5 0 8 2 3 3
14 20 31 1 3 13 15 6 0 9 3 3 3
15 29 31 1 0 5 3 1 0 2 0 1 1
16 2 31 1 4 11 5 2 0 5 1 1 3
17 11 31 1 7 15 11 4 0 8 3 1 4
18 19 31 1 8 19 13 5 0 10 2 3 5
19 18 31 1 8 14 13 5 0 9 3 2 4
20 14 31 1 9 15 15 6 0 10 3 3 4
21 3 31 1 1 9 3 1 0 3 1 0 2
22 24 31 1 3 12 8 3 0 6 1 2 3
23 27 31 1 6 16 10 4 0 8 2 2 4
24 22 31 1 9 19 15 6 0 11 3 3 5
25 5 31 1 1 9 6 2 0 4 2 0 2
26 6 31 1 3 13 10 4 0 7 2 2 3
27 23 31 1 6 22 15 6 0 11 3 3 5
28 10 31 1 6 15 15 6 0 10 3 3 4
29 15 31 1 4 18 13 5 0 9 3 2 4
30 30 31 1 0 4 0 0 0 1 0 0 1
2 19 37 1 2 10 18 7 0 9 3 4 2
3 25 37 1 4 9 16 6 0 8 2 4 2
4 28 37 1 2 9 15 6 0 8 3 3 2
5 15 37 1 4 9 18 7 0 9 4 3 2
6 31 37 1 4 8 13 5 0 7 2 3 2
7 16 37 1 6 20 20 8 0 14 4 4 6
8 14 37 1 5 12 18 7 0 10 3 4 3
9 33 37 1 0 6 6 2 0 3 0 2 1
10 26 37 1 5 13 20 8 0 11 4 4 3
11 27 37 1 5 11 18 7 0 10 3 4 3
12 34 37 1 4 7 10 4 0 6 2 2 2
13 20 37 1 9 13 18 7 0 11 4 3 4
14 8 37 1 8 14 15 6 0 11 3 3 5
15 5 37 1 4 13 13 5 0 8 3 2 3
16 7 37 1 5 12 15 6 0 9 3 3 3
17 24 37 1 5 11 18 7 0 10 4 3 3
18 35 37 1 0 5 3 1 0 2 0 1 1
19 2 37 1 0 4 3 1 0 2 0 1 1
20 13 37 1 8 15 20 8 0 12 4 4 4
21 30 37 1 4 7 11 4 0 6 3 1 2
22 32 37 1 5 10 15 6 0 9 3 3 3
23 29 37 1 7 11 13 5 0 8 2 3 3
24 17 37 1 11 13 20 8 0 12 4 4 4
25 3 37 1 4 7 8 3 0 5 2 1 2
26 10 37 1 8 24 20 8 0 14 4 4 6
27 11 37 1 8 21 18 7 0 13 4 3 6
28 4 37 1 4 14 10 4 0 8 2 2 4
29 23 37 1 9 20 18 7 0 13 3 4 6
30 21 37 1 6 22 20 8 0 13 4 4 5
31 6 37 1 5 15 15 6 0 10 3 3 4
32 22 37 1 7 15 18 7 0 11 3 4 4
33 9 37 1 2 10 9 3 0 5 3 0 2
34 12 37 1 9 14 20 8 0 12 4 4 4
35 18 37 1 5 14 20 8 0 11 4 4 3
36 36 37 1 0 4 0 0 0 1 0 0 1
2 21 41 1 2 10 16 6 0 8 2 4 2
3 14 41 1 5 7 18 7 0 9 3 4 2
4 31 41 1 2 9 13 5 0 7 2 3 2
5 33 41 1 0 7 9 3 0 4 0 3 1
6 7 41 1 5 7 15 6 0 8 3 3 2
7 6 41 1 4 7 13 5 0 7 2 3 2
8 36 41 1 2 8 10 4 0 6 2 2 2
9 32 41 1 3 8 13 5 0 7 3 2 2
10 37 41 1 0 6 6 2 0 3 0 2 1
11 15 41 1 5 8 16 6 0 8 4 2 2
12 393 41 1 7 18 20 8 0 12 4 4 4
13 19 41 1 5 16 18 7 0 11 4 3 4
14 3 41 1 4 7 10 4 0 6 2 2 2
15 11 41 1 11 21 18 7 0 13 4 3 6
16 18 41 1 5 13 16 6 0 9 2 4 3
17 29 41 1 6 18 18 7 0 11 3 4 4
18 16 41 1 6 11 18 7 0 10 3 4 3
19 13 41 1 6 13 18 7 0 10 4 3 3
20 39 41 1 0 5 3 1 0 2 0 1 1
21 2 41 1 0 4 3 1 0 2 0 1 1
22 28 41 1 6 11 20 8 0 11 4 4 3
23 25 41 1 8 12 18 7 0 10 3 4 3
24 12 41 1 10 18 20 8 0 13 4 4 5
25 23 41 1 13 19 20 8 0 14 4 4 6
26 30 41 1 10 16 20 8 0 13 4 4 5
27 38 41 1 4 7 8 3 0 5 2 1 2
28 473 41 1 6 22 20 8 0 13 4 4 5
29 17 41 1 5 21 18 7 0 12 4 3 5
30 26 41 1 8 26 20 8 0 15 4 4 7
31 4 41 1 4 14 10 4 0 8 2 2 4
32 9 41 1 5 13 13 5 0 8 2 3 3
33 5 41 1 2 10 6 2 0 4 2 0 2
34 35 41 1 6 17 15 6 0 10 3 3 4
35 34 41 1 6 13 13 5 0 8 3 2 3
36 8 41 1 6 11 15 6 0 9 3 3 3
37 10 41 1 4 14 15 6 0 9 3 3 3
38 27 41 1 7 17 20 8 0 12 4 4 4
39 20 41 1 5 18 20 8 0 12 4 4 4
40 40 41 1 0 4 0 0 0 1 0 0 1
2 22 43 1 4 14 20 8 0 11 4 4 3
3 29 43 1 4 8 18 7 0 9 3 4 2
4 11 43 1 5 19 20 8 0 12 4 4 4
5 26 43 1 3 9 18 7 0 9 4 3 2
6 36 43 1 4 7 15 6 0 8 3 3 2
7 37 43 1 3 7 13 5 0 7 2 3 2
8 27 43 1 5 23 20 8 0 13 4 4 5
9 24 43 1 7 14 18 7 0 11 4 3 4
10 13 43 1 7 13 20 8 0 11 4 4 3
11 4 43 1 0 4 6 2 0 3 0 2 1
12 18 43 1 8 11 18 7 0 10 3 4 3
13 10 43 1 4 15 15 6 0 10 3 3 4
14 40 43 1 3 6 10 4 0 6 2 2 2
15 23 43 1 12 20 20 8 0 14 4 4 6
16 35 43 1 5 14 13 5 0 8 2 3 3
17 38 43 1 1 9 8 3 0 5 2 1 2
18 12 43 1 8 23 20 8 0 14 4 4 6
19 34 43 1 2 9 11 4 0 6 3 1 2
20 28 43 1 7 17 20 8 0 12 4 4 4
21 41 43 1 0 5 3 1 0 2 0 1 1
22 2 43 1 0 4 3 1 0 2 0 1 1
23 15 43 1 5 8 14 5 0 7 4 1 2
24 9 43 1 8 11 15 6 0 9 3 3 3
25 31 43 1 6 12 18 7 0 10 3 4 3
26 5 43 1 6 9 10 4 0 7 2 2 3
27 8 43 1 7 8 13 5 0 8 2 3 3
28 20 43 1 9 11 18 7 0 11 3 4 4
29 3 43 1 3 8 8 3 0 5 2 1 2
30 33 43 1 4 20 15 6 0 11 3 3 5
31 25 43 1 9 21 20 8 0 14 4 4 6
32 39 43 1 5 13 10 4 0 7 2 2 3
33 30 43 1 7 18 18 7 0 12 4 3 5
34 19 43 1 5 13 16 6 0 9 2 4 3
35 16 43 1 5 18 20 8 0 13 4 4 5
36 6 43 1 8 19 15 6 0 11 3 3 5
